study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	fastq_ftp	sample_alias	sample_title
PRJNA650381	SAMN15703087	SRX8893419	SRR12395051	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/051/SRR12395051/SRR12395051_1.fastq.gz	IDR1900043658-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702995	SRX8893418	SRR12395052	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/052/SRR12395052/SRR12395052_1.fastq.gz	IDR1900035817-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702973	SRX8893417	SRR12395053	33892	Mycobacterium tuberculosis variant bovis BCG	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/053/SRR12395053/SRR12395053_1.fastq.gz	IDR1900034816-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis variant bovis BCG
PRJNA650381	SAMN15703086	SRX8893416	SRR12395054	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/054/SRR12395054/SRR12395054_1.fastq.gz	IDR1900043657-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703085	SRX8893415	SRR12395055	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/055/SRR12395055/SRR12395055_1.fastq.gz	IDR1900043656-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703084	SRX8893414	SRR12395056	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/056/SRR12395056/SRR12395056_1.fastq.gz	IDR1900043370-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703083	SRX8893413	SRR12395057	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/057/SRR12395057/SRR12395057_1.fastq.gz	IDR1900043328-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703082	SRX8893412	SRR12395058	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/058/SRR12395058/SRR12395058_1.fastq.gz	IDR1900043326-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703081	SRX8893411	SRR12395059	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/059/SRR12395059/SRR12395059_1.fastq.gz	IDR1900043324-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703080	SRX8893410	SRR12395060	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/060/SRR12395060/SRR12395060_1.fastq.gz	IDR1900043323-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703079	SRX8893409	SRR12395061	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/061/SRR12395061/SRR12395061_1.fastq.gz	IDR1900043284-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703077	SRX8893408	SRR12395062	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/062/SRR12395062/SRR12395062_1.fastq.gz	IDR1900043150-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703075	SRX8893407	SRR12395063	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/063/SRR12395063/SRR12395063_1.fastq.gz	IDR1900042880-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702994	SRX8893406	SRR12395064	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/064/SRR12395064/SRR12395064_1.fastq.gz	IDR1900035649-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703074	SRX8893405	SRR12395065	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/065/SRR12395065/SRR12395065_1.fastq.gz	IDR1900042879-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703071	SRX8893404	SRR12395066	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/066/SRR12395066/SRR12395066_1.fastq.gz	IDR1900042441-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703063	SRX8893403	SRR12395067	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/067/SRR12395067/SRR12395067_1.fastq.gz	IDR1900041133-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703062	SRX8893402	SRR12395068	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/068/SRR12395068/SRR12395068_1.fastq.gz	IDR1900041114-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703061	SRX8893401	SRR12395069	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/069/SRR12395069/SRR12395069_1.fastq.gz	IDR1900041109-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703060	SRX8893400	SRR12395070	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/070/SRR12395070/SRR12395070_1.fastq.gz	IDR1900040955-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703052	SRX8893399	SRR12395071	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/071/SRR12395071/SRR12395071_1.fastq.gz	IDR1900040338-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703051	SRX8893398	SRR12395072	33892	Mycobacterium tuberculosis variant bovis BCG	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/072/SRR12395072/SRR12395072_1.fastq.gz	IDR1900040337-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis variant bovis BCG
PRJNA650381	SAMN15703046	SRX8893397	SRR12395073	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/073/SRR12395073/SRR12395073_1.fastq.gz	IDR1900039991-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703045	SRX8893396	SRR12395074	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/074/SRR12395074/SRR12395074_1.fastq.gz	IDR1900039836-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702993	SRX8893395	SRR12395075	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/075/SRR12395075/SRR12395075_1.fastq.gz	IDR1900035511-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703044	SRX8893394	SRR12395076	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/076/SRR12395076/SRR12395076_1.fastq.gz	IDR1900039822-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703043	SRX8893393	SRR12395077	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/077/SRR12395077/SRR12395077_1.fastq.gz	IDR1900039816-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703042	SRX8893392	SRR12395078	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/078/SRR12395078/SRR12395078_1.fastq.gz	IDR1900039798-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703041	SRX8893391	SRR12395079	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/079/SRR12395079/SRR12395079_1.fastq.gz	IDR1900039795-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703040	SRX8893390	SRR12395080	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/080/SRR12395080/SRR12395080_1.fastq.gz	IDR1900039794-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702926	SRX8893389	SRR12395081	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/081/SRR12395081/SRR12395081_1.fastq.gz	IDR1900029655-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702925	SRX8893388	SRR12395082	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/082/SRR12395082/SRR12395082_1.fastq.gz	IDR1900029427-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702924	SRX8893387	SRR12395083	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/083/SRR12395083/SRR12395083_1.fastq.gz	IDR1900029422-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702923	SRX8893386	SRR12395084	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/084/SRR12395084/SRR12395084_1.fastq.gz	IDR1900029419-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702922	SRX8893385	SRR12395085	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/085/SRR12395085/SRR12395085_1.fastq.gz	IDR1900029271-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702921	SRX8893384	SRR12395086	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/086/SRR12395086/SRR12395086_1.fastq.gz	IDR1900028932-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702920	SRX8893383	SRR12395087	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/087/SRR12395087/SRR12395087_1.fastq.gz	IDR1900028264-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702919	SRX8893382	SRR12395088	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/088/SRR12395088/SRR12395088_1.fastq.gz	IDR1900022519-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702918	SRX8893381	SRR12395089	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/089/SRR12395089/SRR12395089_1.fastq.gz	IDR1900016129-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703113	SRX8893807	SRR12395090	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/090/SRR12395090/SRR12395090_1.fastq.gz	IDR1900044897-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702980	SRX8893806	SRR12395091	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/091/SRR12395091/SRR12395091_1.fastq.gz	IDR1900034833-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703112	SRX8893805	SRR12395092	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/092/SRR12395092/SRR12395092_1.fastq.gz	IDR1900044894-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703111	SRX8893804	SRR12395093	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/093/SRR12395093/SRR12395093_1.fastq.gz	IDR1900044889-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703110	SRX8893803	SRR12395094	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/094/SRR12395094/SRR12395094_1.fastq.gz	IDR1900044888-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703107	SRX8893802	SRR12395095	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/095/SRR12395095/SRR12395095_1.fastq.gz	IDR1900044576-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703106	SRX8893801	SRR12395096	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/096/SRR12395096/SRR12395096_1.fastq.gz	IDR1900044563-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703105	SRX8893800	SRR12395097	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/097/SRR12395097/SRR12395097_1.fastq.gz	IDR1900044441-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703104	SRX8893799	SRR12395098	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/098/SRR12395098/SRR12395098_1.fastq.gz	IDR1900044046-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703103	SRX8893798	SRR12395099	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/099/SRR12395099/SRR12395099_1.fastq.gz	IDR1900043815-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703102	SRX8893797	SRR12395100	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/000/SRR12395100/SRR12395100_1.fastq.gz	IDR1900043814-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703078	SRX8893796	SRR12395101	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/001/SRR12395101/SRR12395101_1.fastq.gz	IDR1900043161-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702979	SRX8893795	SRR12395102	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/002/SRR12395102/SRR12395102_1.fastq.gz	IDR1900034832-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703076	SRX8893794	SRR12395103	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/003/SRR12395103/SRR12395103_1.fastq.gz	IDR1900042928-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703067	SRX8893793	SRR12395104	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/004/SRR12395104/SRR12395104_1.fastq.gz	IDR1900042241-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702988	SRX8893792	SRR12395105	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/005/SRR12395105/SRR12395105_1.fastq.gz	IDR1900034948-01-02	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703194	SRX8893791	SRR12395106	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/006/SRR12395106/SRR12395106_1.fastq.gz	IDR1900051733-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703193	SRX8893790	SRR12395107	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/007/SRR12395107/SRR12395107_1.fastq.gz	IDR1900051731-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703192	SRX8893789	SRR12395108	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/008/SRR12395108/SRR12395108_1.fastq.gz	IDR1900051730-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703191	SRX8893788	SRR12395109	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/009/SRR12395109/SRR12395109_1.fastq.gz	IDR1900051729-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703190	SRX8893787	SRR12395110	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/010/SRR12395110/SRR12395110_1.fastq.gz	IDR1900051728-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703188	SRX8893786	SRR12395111	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/011/SRR12395111/SRR12395111_1.fastq.gz	IDR1900051726-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703187	SRX8893785	SRR12395112	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/012/SRR12395112/SRR12395112_1.fastq.gz	IDR1900051724-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15702978	SRX8893784	SRR12395113	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/013/SRR12395113/SRR12395113_1.fastq.gz	IDR1900034831-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703183	SRX8893783	SRR12395114	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/014/SRR12395114/SRR12395114_1.fastq.gz	IDR1900050931-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703182	SRX8893782	SRR12395115	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/015/SRR12395115/SRR12395115_1.fastq.gz	IDR1900050930-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703181	SRX8893781	SRR12395116	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/016/SRR12395116/SRR12395116_1.fastq.gz	IDR1900050929-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703180	SRX8893780	SRR12395117	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/017/SRR12395117/SRR12395117_1.fastq.gz	IDR1900050928-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
